eval_id,case_id,customer_text,support_text,message_count,intent,expected_action,difficulty,predicted_intent,confidence,predicted_action
eval_011,413100,@115821 #Fail to meet guaranteed delivery date AGAIN. 8:04PM is after 8PM. Rep says website design to blame. ?? #CustomerService https://t.co/y1GIBHeVDx\n@AmazonHelp After 8:05PM tonight the app changed from “will be delivered by 8PM today” to “expect delivery between October 9 - 11. #whatsthepoint,"@213596 Uh oh! I'm sorry to hear about this, Bailey! What does the most recent tracking information state for your order? ^HC\n@213596 I'm sorry! If we've missed the date in our confirmation e-mail, please contact us for options: https://t.co/hApLpMlfHN ^WT",4,delivery_tracking,ESCALATE,medium,delivery_tracking,0.98,AUTO_HANDLE
eval_012,1491477,体つらすぎたからprime now初めて使ってみたけどこれおもしろいなぁw,@466381 お役に立てれば光栄です。早く体が回復するといいですね🙇🏻💦 EK,2,other,AUTO_HANDLE,easy,prime_subscription,0.8,AUTO_HANDLE
eval_013,2859850,What is happening with @115830 with their #prime next day orders. 2 days late\n@AmazonHelp Nothing at all,@794710 I'm sorry for the delay! Have we sent any communication stating a reason why? ^TR\n@794710 Let's look into this in real time. Please call or chat with us here: https://t.co/EUYsDKunDG ^BA,4,delivery_tracking,ESCALATE,medium,delivery_tracking,0.95,AUTO_HANDLE
eval_014,546433,I’m pissed @115821 stole $100 from me smh,"@247058 I'm sorry for the unexpected charge. Does this transaction appear to be for a Prime membership? If so, you may cancel the membership here: https://t.co/ijhw7Yi3Pi ^RA",2,payment_billing,ESCALATE,hard,payment_billing,0.75,ESCALATE
eval_015,788650,Hi @115850  can I exchange my 1 year old kindle oasis for the new one?,@180809 Kindly contact our team here: https://t.co/tc3VJIYzxn and we'll help you. ^GK,2,order_product_issue,AUTO_HANDLE,medium,technical_device_digital,0.9,AUTO_HANDLE
eval_016,1551310,"Just tried placing my first order with #AmazonEcho, quite a nice experience. Sku size is a challenge, that @115850 will have to work on",@402097 I'll pass along your feedback to our team internally and we'll work on this. ^GK,2,other,AUTO_HANDLE,easy,other,0.8,AUTO_HANDLE
eval_017,2432744,"Puto Correos de mierda y puto amazon. Empieza a ser demasiado habitual que llas reservas lleguen tarde...entonces PARA QUE COÑO RESERVAMOS? @116928\n@AmazonHelp @133260 Si, la que me tenía qie haber llegado hoy y que me han reenviado para recibir mañana...eso espero vamos","@698182 Hola, lamentamos mucho las molestias causadas. ¿Actualmente tienes alguna reserva pendiente de entrega con @133260  ? ^AA\n@698182 Chascoby Shaddix, lamentamos mucho el atraso, pero confiamos en que estés recibiendo este paquete mañana mismo. Si recibiste una fecha garantizada de entrega en lugar de una fecha estimada, puedes contactar a Servicio al Cliente:  https://t.co/OjvUxwnzPe
 ^CB",4,delivery_tracking,ESCALATE,medium,delivery_tracking,0.95,AUTO_HANDLE
eval_018,2363259,"@AmazonHelp hi guys, I recieved my copy of Sonic Forces last week but your system hasn't updated to say I have recieved it yet... 😞 https://t.co/sst6Dv7Xk4","@495478 Oh! Thanks for bringing this to our attention! We'd like to link your feedback to the order. When you have a chance, please reach out to us here: https://t.co/hApLpMlfHN ^BH",2,delivery_tracking,AUTO_HANDLE,easy,delivery_tracking,0.85,AUTO_HANDLE
eval_019,967201,"22:00 Uhr und die Premiumversandsendung die heute kommen sollte ist nicht gekommen.
Super @116316 und @122924...  ganz klasse...",@349563 Was sagt die Sendungsverfolgung? Melde dich zur Prüfung gern mal bei den Kollegen im Kundenservice https://t.co/ohyvGrpvrY ^DS,2,delivery_tracking,ESCALATE,medium,delivery_tracking,0.95,AUTO_HANDLE
eval_020,2230017,I need information regarding the refund mode and amazon is not replying to my mails....pathetic response...how can i file charge dispute without the necessary info  @AmazonHelp\n@AmazonHelp Pathetic service....fraud website....will go to consumer now\n@AmazonHelp Amazon is not answering my calls and mails pathetic\n@AmazonHelp I have shared that many times but customer service doesn't reply to the mails...and u say that the case is handled by highest authority of Amazon..liars...,"@119794 I'm sorry about the stretch. Let us take a closer look at this &amp; sort it for you. Please fill this form: https://t.co/beaaDm0muc again and we'll be glad to help you in your refund.^SF\n@119794 Apologies for the experience. Please reply to the email received from us here: https://t.co/DTSNmGldJf &amp; we'll get in touch with you. ^BS\n@119794 Did you happen to share your details using the secure link we had shared? We would like to work on it.

Bikram | Amazon Customer Service\n@119794 I understand your concern. Please reply to the email sent by our specialist team. We'll help you further. ^BA",8,return_refund,ESCALATE,hard,return_refund,0.9,ESCALATE
eval_021,1187723,@AmazonHelp I FEEL LIKE YOU GUYS ARE CUTTING IT REALLY CLOSE #Oct24 https://t.co/Pzi0iQLBpL,@188339 Orders can ship out anytime between the ship date and delivery date. Please let us know if it does not arrive by 9pm! ^LJ,2,delivery_tracking,ESCALATE,hard,delivery_tracking,0.95,AUTO_HANDLE
eval_022,254624,"@120533  livré moi vite mes chargeurs rien ne va plus là , vous allez perdre un actionnaire\n@AmazonHelp Un peu plus de rapidité serait la bienvenue\n@AmazonHelp Il est entrain de me donner la définition d’expéditeur, incroyable\n@AmazonHelp Vie de ma mère vous m’avez pris pour un teubé, sinon mes câbles ?\n@AmazonHelp Samedi\n@AmazonHelp EXPRESS comme le train\n@AmazonHelp J’ai passé ma commande hier 🙄\n@AmazonHelp Samedi c’est bien , mais je souffre en attendant","@176517 Bonsoir, quel est le souci exactement ? La date prévue de livraison a-t-elle été dépassée ? ^MH\n@176517 Cela dépend de la disponibilité mais surtout du vendeur/expéditeur de l'article. ^MH\n@176517 Le vendeur n'est pas forcément l'expéditeur ;) Il est possible qu'un article soit vendu par un tiers et expédié par Amazon. ^MH\n@176517 La date de livraison est prévue pour quand exactement ? ^ Ko\n@176517 Pourriez-vous nous indiquer le mode de livraison choisi pour cet envoi je vous prie ?
^KE\n@176517 Avez-vous contacté notre SAV pour voir la raison de ce délai ? ^BR\n@176517 Les délais d'une livraison expresse sont entre 2 à 5 jours ouvrés, ceci dit j'espère que vous recevrez votre colis rapidement^KE",15,delivery_tracking,AUTO_HANDLE,medium,delivery_tracking,0.95,AUTO_HANDLE
eval_023,570111,I thought Amazon Prime was 2-day delivery....why is everything taking 3-6 days lately?,"@253819 I'm sorry your order isn't arriving when you expected! To confirm, what was the delivery date shown at checkout and confirmed via e-mail? What's the current status shown here: https://t.co/Y5jpI9gRhE ^TL",2,delivery_tracking,ESCALATE,medium,prime_subscription,0.9,AUTO_HANDLE
eval_024,622448,@115830 called ur customer service... me: I was sent an item that expired. CS in India after 15 min: did you look around your house? Me (losing it!) Are U freaking killing me? CS in India: hung up! Well done Amazon #greatcrapcustomerservice!\n@AmazonHelp Dear @115830 I hope this was a joke when asked to contact ur customer service! Same number! Same people! Thank you very for putting me off calling it customer services again!,@267740 Oh no!  This is certainly not the type of experience we want our customers to have.  We'd like our team to take another look if possible.  Could you reach out to us here:  https://t.co/JzP7hlA23B and we'll be happy to help! ^AZ,3,order_product_issue,ESCALATE,hard,complaint_service,0.95,AUTO_HANDLE
eval_025,2444032,@115821 based on the 4 orders that have arrived at least 1 day past the “guaranteed” delivery...maybe stop calling it that. #protip #amazonfail #deliveryfail\n@115821 To be clear...4 orders in the last 2 months alone.\n@AmazonHelp The orders from Sep/Oct I cant view tracking for anymore but the two orders from Nov are both USPS. It’s definitely a 1st world prob but it’s very frustrating esp when my husband’s orders are always on time. Thanks for the link!,"@301365 I'm sorry for the poor delivery experiences! This is certainly not what we expect for our customers, and I'm sorry we've missed the mark.

To clarify, Sharon, are you seeing recurring issues w/ a certain carrier: https://t.co/Y5jpI9gRhE Let us know! ^KN",4,delivery_tracking,ESCALATE,medium,delivery_tracking,0.95,AUTO_HANDLE
eval_026,238455,"Never expected @115850 will sell shitty products. Also never expected the product will be of @9642 
20 days and its gone. https://t.co/yzC84a1old\n@AmazonHelp Okay so i set up a call. and the IVR says that this had to be returned in 10 days. Now the glue is getting off the product.\n@AmazonHelp Filled the details. Let’s see what heppens now.\n@AmazonHelp Someone was going to call me in 12 hours? What forgot to mention my name in your task list?\n@AmazonHelp Please spend some money to give a call instead to avoid the hassle.\n@AmazonHelp I did! But to decrease the hassles you can have a text or a call service perhaps. Or do it here. Much easier.","@172735 Sorry about that. Kindly get in touch with us here: https://t.co/LCf2kyqi8f and we’ll be glad to help you. [1/2]\n@172735 I'd like to have a look at this closely. Please write to us here: https://t.co/GIJyeYqKE0 and I'll reach out to you. ^SA\n@172735 We've received your details. We're looking into the issue and shall get back to you soon. ^SH\n@172735 Sorry for the hassle Nitin. You should have received an email from us, please check and revert. ^HN\n@172735 Will definitely help you out, Nitin. Request you to please reply to the correspondence that was sent to you by our team. ^NK\n@172735 We've received your revert and we'll reach out to you soon. ^GK",12,order_product_issue,ESCALATE,hard,order_product_issue,0.95,AUTO_HANDLE
eval_027,2921431,"Really nice of @115821 to notify me at 7pm that the item to be delivered *today* would now arrive on Dec 21st. Because, uh, ok. Good thing cancelling orders is easy.\n@AmazonHelp Nope. Just told there was a 'delay' and they would notify me if it were available sooner. I cancelled the order, but I'm still disappointed. The lack of communication is problematic.","@515583 I'm so sorry to hear this, Tori. We're here to help! Were you provided a reason for the delay of your order? ^NS",3,delivery_tracking,ESCALATE,medium,delivery_tracking,0.95,AUTO_HANDLE
eval_028,490381,"Hey @115821 remind me why I'm paying for 2day shipping when twice this week my packages have been late and another package last month was also late.\n@AmazonHelp Yeah I get one date in my emails and on that day y'all tell me a new expected delivery date.\n@AmazonHelp It's been multiple carriers. USPS and ups are the ones from this week.\n@AmazonHelp Yes I've been given a new date. One where I won't be home and UPS doesn't leave boxes on my doorsteps so I'll have to trek out to their facility to pick it up myself, adding another day of delay in getting my package.  This is why sticking to your promises is important!",@231823 So sorry to hear about the issues! Are the orders arriving later than the dates provided in your order confirmation e-mails? ^GS\n@231823 Have you noticed this occurring with a specific carrier? You can check this detail in your account here: https://t.co/Y5jpI9gRhE ^BG\n@231823 Thanks for that information! Sorry to hear about the delays. Have you been provided a new estimated delivery date? ^KJ\n@231823 I can understand where you're coming from. We'd like to review your order with you here: https://t.co/hApLpMlfHN This will allow us to collect more info for our Shipping team and review your available options. ^RA,8,delivery_tracking,ESCALATE,medium,delivery_tracking,0.95,AUTO_HANDLE
eval_029,2666887,amazonで買い物すると、稀にコンビニ支払いが出来ないやつがあって、仕方ないのでそういう時は代引きにしてもらってるんだけど、やっぱり面倒くさい。配達の人がお釣り出ないように細かい額のお金を用意したり、時間になったら家で待機してないといけない制約も地味にめんどい。,@751315 商品によって「コンビニ・ATM・ネットバンキング・電子マネー払い」がご利用いただけないことがございます。https://t.co/HcRnh8KN8O　もしよろしければ「Amazonギフト券」でのお支払いなどをご検討ください。https://t.co/izIKjRBQ5t TN,2,payment_billing,AUTO_HANDLE,medium,payment_billing,0.75,ESCALATE
eval_030,210535,@amazonhelp what is this? It’s Wednesday and the tracking number hasn’t even been updated? Refund! https://t.co/aGp98gQ8MN,@165818 We'd like to have a specialist look at this with you. Please provide more details here https://t.co/nuIpOhUIuR so we can help^NM,2,delivery_tracking,ESCALATE,medium,delivery_tracking,0.95,AUTO_HANDLE
eval_031,2544938,Whyyyyyyyy is my @115821 app not working 😑😑😑 two days straight now I can’t check out!!!!,"@723384 Hi, in most cases, this issue can be solved by uninstalling and reinstalling the application on your device. Did you try, to do that? ^ZC",2,technical_device_digital,ESCALATE,medium,account_access,0.85,AUTO_HANDLE
eval_032,845325,@AmazonHelp Amazon Logistics still havent delivered my parcel and its 1:18pm,@297529 Our couriers will deliver all the way up to 9PM. ^EM,2,delivery_tracking,AUTO_HANDLE,easy,delivery_tracking,0.98,AUTO_HANDLE
eval_033,1114370,**HELP** If I preorder something on @115830 do they take the money right away or when it gets delivered?\n@AmazonHelp That is fab thank you for replying :),"@383004 Hi Julie, we charge just before dispatch. ^AT\n@383004 No problem Julie. ^KM",4,payment_billing,AUTO_HANDLE,easy,payment_billing,0.9,ESCALATE
eval_034,2973810,I’m fucking annoyed with @115821\n@AmazonHelp I messaged you,"@820158 This certainly isn't what we like to hear! We want to help you here the best we can. Without giving any personal account information, will you tell us more about what's going on? ^HC",3,other,ESCALATE,hard,complaint_service,0.8,AUTO_HANDLE
eval_035,412312,@AmazonHelp why is it that Amazon Logistics can never deliver packages on time... never. Unacceptable time and time again!!!!,@213378 I'm sorry for the experience. Is this in regard to a current order: https://t.co/3kQwjObgTc? We'd like to help if possible. ^GM,2,delivery_tracking,ESCALATE,medium,delivery_tracking,0.98,AUTO_HANDLE
eval_036,495940,"Got an Amazon gift card for my birthday and had trouble redeeming it. @116090 has been literally useless as my friend and I have tried to get help resolving the issue. Trash responses and continually pawning off the issue. So freaking disappointed. Step it up, Amazon.\n@AmazonHelp At first I was escalated to the Gift Card team, who then responded by telling me it was a store purchased gift card (it wasn’t) and to return to the store. When I advised them of this they said communication needed to come from email address of purchaser,even though it was a gift\n@AmazonHelp She called and spent 15 mins on the phone before having the issue escalated to the gift card department. She is waiting for a response from them, and doesn’t have Twitter. It’s absurd we are having to deal with this level of crap.","@233291 I'm sorry for the gift card troubles, Lauren! We'd like to help! To begin, could you tell us what information or options we were able to provide you when you spoke to us? ^TK\n@233291 Is the purchaser able to get in contact with us, in order to resolve this matter? ^AP\n@233291 Please keep us posted on the outcome, and let us know if there's anything more we can do to help! ^SB",6,payment_billing,ESCALATE,hard,payment_billing,0.9,ESCALATE
eval_037,1252005,"@115850 @AmazonHelp Buy nokia 6 from you from my amazon pay balance but didn’t get cashback of ₹1000 yet, calling u from last 1 month.",@127178 I understand your concern is regarding cash back on Nokia 6. I apologize for the hassle you had to through. (1/2)^VH\n@127178 I’d like to help you. Kindly share your details here: https://t.co/beaaDm0muc and I’ll contact you soon. (2/2)^VH,3,payment_billing,ESCALATE,hard,payment_billing,0.95,ESCALATE
eval_038,954118,"Acabo de comprar algo en @116875 y me lo entregan mañana.

Esas cosas ya me dan miedo.","@346394 Aquí estamos entrenando para entregarte tu pedido, Partin 😉 ^LG https://t.co/L2vWd2AbvP",2,other,AUTO_HANDLE,easy,delivery_tracking,0.85,AUTO_HANDLE
eval_039,2530741,@117634 love the new kindle app icon!!,"@720375 Hey Cheryl, thanks for the positive feedback! Good to know it's been well-received. Enjoy your read! 😊 ^TS",2,other,AUTO_HANDLE,easy,technical_device_digital,0.9,AUTO_HANDLE
eval_040,1480424,Haha immer wenn es Mit Amazon Geschickt wird Gibt es Probleme...... (mit DHL nicht) @116316 https://t.co/lvcO6yXYhM,"@463764 Bitte entschuldige die Verzögerung. Meld dich bei uns, damit wir das überprüfen können: https://t.co/br7bhrlJn8 Viele Grüße ^UK",2,delivery_tracking,ESCALATE,medium,delivery_tracking,0.9,AUTO_HANDLE
eval_041,1498581,"@117086 oi estou com um problema quando vou assinar o PrimeVideo a página não sai do local de cobrança\n@AmazonHelp Ele carrega assim e volta pro mesmo lugar do endereço, tanto no cel como no pc https://t.co/Hw136hNS4y\n@AmazonHelp Acabei de tentar tbm no Fire Fox e no Chrome no PC e da a mesma coisa não carrega nada depois do endereço\n@AmazonHelp Ja no site de vocês americano, já aparece os dados do meu cartão e o botão de “Star Your free trial”\n@AmazonHelp  https://t.co/qBDJMn4oPo\n@AmazonHelp Oi a BR eu não consegui, mas a Americana eu consegui, agora eu consigo mudar a 🇺🇸 para 🇧🇷 ?","@467936 Oi Alisson, você recebe alguma mensagem de erro no site? ^LG\n@467936 Entendi. Você tentou utilizar outro navegador de internet ou apagar as cookies do navegador atual? ^LG\n@467936 Sinto muito o acontecido Alisson, conseguiu assinar o Prime Video com sucesso?

^Andrea V\n@467936 No caso, por favor contate-nos pelo SAC diretamente para conferir com detalhe o caso, Alisson: https://t.co/qGpkDwGRhX. ^LG\n@467936 Alisson, o site de https://t.co/994EpRLnSJ é universal. Ele reconhece o seu território automaticamente. ^LG",11,technical_device_digital,ESCALATE,medium,prime_subscription,0.95,AUTO_HANDLE
eval_042,1390723,Hola @116928 ¿qué hay que hacer para que nunca más venga un repartidor a las ocho y veinte de la mañana un sábado?\n@AmazonHelp pero no puedo elegir que siempre vengan de lunes a viernes?,@443481 Lamento cualquier inconveniente. Puedes valorar al transportista aquí https://t.co/qjpXgZ6jUh ^VL,3,product_info_availability,AUTO_HANDLE,medium,delivery_tracking,0.9,AUTO_HANDLE
eval_043,226177,"@115850 My last product nt delivrd. No action frm #CustomerCare aftr many complaints. Will not use amazon again. Terrible #CustomerExperience\n@AmazonHelp Did that many times earlier to no avail, so just decided to give up Amazon","@214943 Apologies, Sumana. I’d like to assist you. Please fill this form: https://t.co/cllwXc2HeK and I’ll contact you soon. ^NK\n@214943 I'm sorry you feel that way. If you've replied to our email, I'm sure you would have received a revert from us. ^VM",4,delivery_tracking,ESCALATE,hard,delivery_tracking,0.9,AUTO_HANDLE
eval_044,1955375,"@AmazonHelp me ajuda 
eu não consigo comprar nada pq vcs simplesmente não querem reconhecer meu cartão","@151593 Pode falar com o SAC (https://t.co/Qzzg8y1LhY), eles te ajudam! ^VL",2,payment_billing,ESCALATE,medium,payment_billing,0.95,ESCALATE
eval_045,689166,@115850 tremendous improvements in customer service..,@284669 That's what we love to hear! We're so happy. ^MD,2,other,AUTO_HANDLE,easy,complaint_service,0.8,AUTO_HANDLE
eval_046,481668,@115850 this is absolutely unprofessional approach. No one come for delivery the entire day and in the evening I received this message. Shocking... for this kind of services I became prime customer. https://t.co/ubEX6tqcFv,"@229484 Apologies for the trouble with the delivery of the order. We'd like to help. Kindly report this to our support team here: https://t.co/rS49hgaADF . Also, don't provide your order details, we consider it personal information. Our Twitter page is visible to the public. ^AK",2,delivery_tracking,ESCALATE,medium,delivery_tracking,0.95,AUTO_HANDLE
eval_047,1125028,So @115830 is falsely advertising #Prime Membership sold as one day delivery but many things shown as prime are not - example pictures. #TradingStandards #Fail #CustomerService please share and RT to make people aware https://t.co/sC3CGCgGci\n@AmazonHelp Not convinced- all items we’ve looked at today are for Tuesday delivery.  So you’re saying it could take several days to despatch then the one day applies - not how it appears in the advertising.\n@AmazonHelp Still pay for a service level you’re not getting,"@385278 Hi Scott, not all items are eligible for immediate dispatch. One day delivery will be applies after dispatch for those. ^AT\n@385278 Due to the sales being on this weekend it there mean that your orders may take longer to arrive, you can read more information on here: https://t.co/pAfUJ1bzuN ^KI",5,prime_subscription,ESCALATE,medium,prime_subscription,0.95,AUTO_HANDLE
eval_048,486780,"Hey @AmazonHelp, a lot of customers are really angry at your carrier Intelcom, have you seen their Google ratings and comments ? Clearly they don't meet your standards, make you look really bad and don't deserve the market share you're giving them. Care to do something ?\n@AmazonHelp @116090 https://t.co/2xiTq1pvOA. Like many more customers, my package is 7 days late. I am not buying anything on Amazon anymore until you get rid of Intelcom.\n@AmazonHelp Already done, got a refund for the fee, thanks. But unless u can deliver by tonight, It's useless. Shipping a new one will only extend the wait, I'm tired and I won't go for another round. You have Google comments, countless tweets and press articles, just get rid of Intelcom.",@230826 I'm sorry to hear about this. Could you please contact us so that we can look into your order further for you? You can reach us here: https://t.co/3pBuw1SV0L. ^PJ,4,delivery_tracking,ESCALATE,hard,delivery_tracking,0.95,AUTO_HANDLE
eval_049,756300,"@120540 Salve, vorrei chiedere una informazione, dopo tre tentativi di consegna di un pacco,tutti falliti, cosa accade? Corriere logistics\n@AmazonHelp Ok, sa dirmi fino a che ora avvengono le consegne generalmente?","@300770 Ti consiglio di contattare il Servizio Clienti per verificare se sia possibile effettuare un nuovo tentativo di consegna. ^GA\n@300770 Dalle ore 8:30 alle 18:30, per maggiori informazioni clicca qui: https://t.co/JHl65Xfvv7. A presto! ^GA",4,delivery_tracking,ESCALATE,medium,delivery_tracking,0.98,AUTO_HANDLE
eval_050,391614,"Hola, @116928. Dice vuestra página de envío que un paquete que pedí ha salido ya pero la empresa de mensajería no lo tiene. ¿Qué pasa?\n@116928 Porque se supone que llega mañana y el localizador no me dice nada. Y desde Correos me confirman que no tienen el paquete físico.\n@AmazonHelp Gestionado por Amazon EU. https://t.co/0Wy3cbCY2B","@208726 Entiendo, ¿el pedido era gestionado por Amazon o por un vendedor independiente? ^KS\n@208726 En ese caso, puedes contactar con nuestro Servicio al Cliente para verificarlo: https://t.co/KyKcfqiS0j. ^KS",5,delivery_tracking,ESCALATE,medium,delivery_tracking,0.98,AUTO_HANDLE
eval_051,2252877,"@AmazonHelp olá amazon eu comprei o livro The becoming of noah shaw no dia 8/10 e o livro já lançou só que até agora o status do pedido não foi alterado, ainda consta que está sendo preparado para envio. Eu gostaria de saber o que está acontecendo com o meu pedido.","@656308 Olá kamila! No seu caso, você reservou o livro e quando a gente tenha uma data estimada de entrega, vamos lhe enviar um e-mail confirmando o pedido com todas as informações. Agradecemos desde já sua paciência e cooperação. ^JJ",2,delivery_tracking,ESCALATE,medium,delivery_tracking,0.95,AUTO_HANDLE
eval_052,1033189,"@120781 @115850 
Item not rcvd. Refund not rcvd aftr 1 mnth which is causing me immense mental pain and agony. Expctd btr frm Amzn https://t.co/IqvaxdYoES\n@120781 @115850 Issue reslvd finally. Was contctng CC every week since lst mnth with no rslts. All it needed was a tweet. Nevr expctd dis srvc frm amzn.","@364444 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^ZH\n@364444 We apologize for the inconvenience. We'd like to help you. Please share your details here: https://t.co/GIJyeYqKE0. (1/2) ^ZH\n@364444 I understand your concern, Barnava. I'll pass along your feedback to the team concerned for review. Appreciate your patience. ^HD",5,return_refund,ESCALATE,hard,return_refund,0.95,ESCALATE
eval_053,2545438,"Hi @115830 - what's going on with your UK checkout (editing delivery address)?
#unusable https://t.co/LwPZOPVXxS\n@AmazonHelp YAY all fixed thx!","@723500 I'm sorry about the trouble you're having, have you tried clearing the cache and cookies or using a different browser? ^CN\n@723500 Awesome! Glad to hear it is now working for you. Have a great day, Gemma! ^SW",4,technical_device_digital,AUTO_HANDLE,medium,technical_device_digital,0.9,AUTO_HANDLE
eval_054,2840232,@AmazonHelp I'm confused... https://t.co/ikSK76AvrW,@790379 We'd like to look into the delivery for you. Please contact us at: https://t.co/JzP7hlA23B ^LI,2,other,ESCALATE,hard,other,0.5,ESCALATE
