customer_tweet_id,reply_tweet_id,customer_message,support_reply,suggested_intent,human_intent,human_escalate,reviewer_notes
1016392,1016393,"No update since the weekend, told it has been delayed. Each time we phone we are told it’ll be here the following day.","We'd like to look into this further, please send us more info here: [link] ^EA",delivery_delay,,,
1016802,1016804,We don’t have a safe place set up. We had no calling card etc left either. I just got home late at night and it was just left.,Please contact us by Phone or Chat: [link] and we will be glad to help out with this! Keep us posted! ^FR,delivery_delay,,,
1000118,1000120,It's all good now 😊 I chatted in & it turns out the tracking shows it was never delivered. Your rep = v helpful & replacement is on its way,Thanks for letting us know! We're always here if you need us! ^CS,order_tracking,,,
1000164,1000163,"This is after package was supposedly out for delivery this morning, then resent this afternoon. What am I paying for Prime for?!","I'm sorry to hear we've let you down, Sophia! Here's some tips that should help recover the parcel: [link] ^CS",order_tracking,,,
1001034,1001032,Desperate to go out but waiting in for a delivery from as I can’t track my order & time my outing accordingly. Poor.,"We can deliver up to 9pm, normally sooner! You can nominate a 'safe place' if you're out: [link] ^RL",order_tracking,,,
1001046,1001045,I purchased Amazon pipa offer pack 1.25 litre after sending message received tracking ID not received Amazon gift card Tracking ID- 8ABOLOENA4730 PLEASE HELP,"I understand your concern, please contact us here: [link] so that we can assist you accordingly. ^SC",order_tracking,,,
1001072,1001074,"No error message just doesn't show in any download, either to Amazon Music player or PC. 3 albums show up in both but the 1 single track purchased does not",Please reach out here so we can help you out [link] ^KM,order_tracking,,,
1001073,1001071,"Purchased some music yesterday & having issues with one track, it doesn't show in my downloads at all but shows on my order. Help please",Sorry to hear this. Does it give you an error when trying to play it? ^PK,order_tracking,,,
1001975,1001977,The tracking shows the courier could not find my address. Which is absolute rubbish. This has never happened before.,"I'm sorry it hasn't arrived! If it isn't delivered Monday, or for direct assistance, reach us here: [link] ^AN",order_tracking,,,
1002197,1002196,where is my package? Last time you deliver to my neighbors and this time it's no where. :'(,"Terribly sorry for the frustration, Ahsan! What's the updated tracking information state here: [link]",order_tracking,,,
1002569,1002570,"Sent DM of the agents number, call him and check where the package is.. else refund my extra amount!",We'll not be able to contact directly over Twitter. Please share your details here: [link] and we'll check.^HN,order_tracking,,,
1002622,1002621,My tracking #511355783673 Delivery man didn't handover the package to me. From where to collect? Where and how to contact you,Allow our support team to investigate this. You can report this here: [link] (1/2) ^CB,order_tracking,,,
1003675,1003673,Plz track the package with track no : 211178196277.I got sms 2 times for successfully delivery but hvn't received product.,Please don’t provide your order details as we consider them to be personal info. Our page is visible to public. ^SG(2/2),order_tracking,,,
1003712,1003711,"Tracking #511355783673 Inspite of Address, package not delivered to me. Asking to contact amazon. Now to contact links found","Also, please don't provide the order details, as we consider it personal information. ^HT",order_tracking,,,
1006599,1006597,"So glad I paid for Same Day Shipping from just for my package not to arrive, and tracking says won’t be delivered for another 4 DAYS","Apologies Eliza, this is not the service we expect. Were you advised as to a reason why your order has been delayed? ^TP",order_tracking,,,
1007004,1007002,"its amazon's own ""currier"" and they dont have a tracking thing.",A specialist from our team would like to reach out to you directly. Share a little info here: [link] ^JZ,order_tracking,,,
1009190,1009192,It’s been out for delivery since 8AM,"We do deliver until 8:00 pm, please keep us posted if it doesn't arrive tonight! ^BE",order_tracking,,,
1009217,1009215,tried prime to get order for today. Waited all day for ‘out for delivery’ & not turned up. 40 min call to get a refund. Rubbish!,"I'm sorry missed we the mark on this You mentioned that you were refunded, but were there any additional options provided? ^JS",order_tracking,,,
1015481,1015482,"It was ""arriving tomorrow"" yesterday. This morning it's still arriving tomorrow. No messages. I can see in tracking it's local.",Reach us here: [link] so we can check with the carrier for you.^CD,order_tracking,,,
1015642,1015641,Since last 2 days my order shows out for delivery but no 1 has attempted delivery yet. Strangely hv been receiving these SMS's [link],Sorry for the delay in delivery of your order. Please contact us here: [link] and we'll help you with this. ^SQ,order_tracking,,,
1016387,1016385,"hmmm well next day delivery didn’t arrive Fri, or Sat, not even Sunday.... where is my order??????","I understand your concern, Rebecca. Have we missed the date promised in your order confirmation e-mail? We'd love to help. ^SK",order_tracking,,,
101739,101737,Love when I order something on and it says 'Guaranteed Delivery Thursday Nov 30' but then I check today and I get 'Arriving Nov 30 - Dec 1'. Tracking says it's in Illinois right now. ☹️☹️☹️ I guess I can wait one more day...,Hi I am sorry to hear that! Did you receive an email from us explaining why there was a delay? ^HS,order_tracking,,,
1000138,1000134,"I already connected. Did live chat, you are ready for refund. people need to know the actual fact of","Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. 2/2 ^HD",return_refund,,,
1000985,1000986,"dear sir, order id:[redacted]-2413959 in India not solved refund issue since four months by amazon India,please......,",We've responded to your query here: [link] ^HA,return_refund,,,
1001043,1001042,"dear sir, order id:[redacted]-2413959 in India not solved refund issue since four months by amazon India,please......",I'm so sorry for the hassle. I’d like to help you. Please fill this form: [link] and I’ll contact you soon.^RI,return_refund,,,
1001058,1001060,"I dnt hv spare phn, so please refund my money i made a mistake buying phn from Amazon, i.will mk sure not to repeate that mistake in future",We'll only be able to dispatch the replacement after the returned item reaches our fulfillment center. You must have 1/2 ^SH,return_refund,,,
1001098,1001097,you seriously won’t refund me? See this text I received [link],Oh no! You can read more about undeliverable package refunds here [link] Have we provided a different insight? ^TG,return_refund,,,
1002562,1002564,Had to cancel an important order after waiting for 6 days because of amazon.. moreover the delivery guy challenged me to make him deliver...,I'm terribly sorry for this situation. I've noted your comments and will be sure to forward this as a feedback internally. ^MP,return_refund,,,
1002616,1002620,"I did visit Contact Us, but der is no such tab which can resolve the issue. Only Order details Return Order details. No address for collecti","To connect with our support team, please follow the steps here: Click on this link: [link] > you may login (1/3)",return_refund,,,
1002644,1544029,I contacted your customer service and they told cash will be added back on Monday & today is Tuesday still no refund.,"Sorry to know you haven't received your cash back. Certainly not intended, please share your details on 1/2 ^PS",return_refund,,,
1002919,1002918,was promised a refund but been couple weeks hasn't come through. Closed account so can't contact. What number can I ring?,"So sorry you haven't received your refund, Emily! You can contact us here: [link] without signing in. ^AD",return_refund,,,
1003633,1089226,Orders getting cancel no replacement pathetic #foolish resolution team #jkoers [link],Sorry to know about the cancelled orders. ^AK (1/2),return_refund,,,
1003670,1003669,great customer service.refund ki koi jhinjhat nehin..bas ek e-mail hi kafi hai.👍,"Glad to know that, we were able to resolve it soon. Do keep us posted for any further concerns. ^SG",return_refund,,,
1003690,1003692,"is getting wrost placed order on 24-09-17 but still not received product or refund, even contact CC but no satisfactory response. [link]",Sorry for the trouble with the delivery of the order. I'd like to take a closer look at this. ^AK (1/2),return_refund,,,
1004393,1004392,customer service and refund procedure sucks. Wasted 1.5hrs and 45mins of my life and yet did not get any solution. Horrendous.,I'm sorry to hear this. Allow us to take a closer look on this. Please share your details here: [link] ^VN,return_refund,,,
1004578,1004577,I had ordered 2 rakhi sets way back in august... those sets never got delievered neither did i get my money back ... what am i supposed to do ... ? Been after u guys since the past 3 months ... its damn frustrating... and dissappointing too ...,Oh no! Was the item sold and shipped by Amazon or a third party? We are here to help! ^BA,return_refund,,,
1004596,1004595,"15-20% of my packages have shipping issues. started when they moved to contractors. Are rethinking the value of this service. I'm getting a refund for a package that just vanished, and a package yesterday showed up 24 hrs after it was claimed to be delivered","We'd like to look into this further for you. When you have a moment, please provide us with your details here: [link] ^AC",return_refund,,,
1004650,1004649,"Received book on 9 Nov but a pirated version. Req for exchange till now waiting & return window has been closed, why?",We're sorry about the trouble you've had with this order. We'd like to help you with this. Write to us here: [link] and we'll look into it. ^MO,return_refund,,,
1005157,1005155,While exchanging the phone what things need to be given? Do I need to return the box of the phone also?,You would need to return the device and it's accessories but the phone box can be optional. ^AB,return_refund,,,
1005976,1005981,Then offered me not to return defective; however u never confirmed by email. So still don’t know if I have to return it or not,Please send us feedback via the e-mail sent. This will be used for evaluation & coaching the associate. Were things resolved? ^AM,return_refund,,,
1006027,1006029,It spent a long time in a PO box I couldn't get to so the return window is already closed. Any chance of an exception? [link],We'll be able to look into our available options if you contact us here: [link] We are open 24/7! ^AR,return_refund,,,
1007008,1007007,I just received the Polaroid paper...and I just figured that it’s the wrong kind of paper for my camera 😭😭😭 How can I return it?,"For details on setting up a gift return, please click here: [link] ^AD",return_refund,,,
1000130,1000128,sign up page appears broken. Cannot sign up. Help!,"Oh no! That's not supposed to happen. Is there a particular error showing, Tim? Let us know, we are here to help! ^SA",damaged_item,,,
1003674,1003676,I hv used the options that u suggested in last tweet but it doesn't solves my problem. I contacted 2-3 times by phone and mail.,I’m sorry about that. I’d like to assist you. Please fill this form: [link] and I’ll contact you soon. ^NK,damaged_item,,,
1004633,1004632,Can’t really believe are sending out vinyl by sticking a postage label on the shrink wrap! Arrived damaged - hardly a surprise. I’ve seen some bad vinyl packaging in my time by this takes the piss. #anrgy [link],I'm very sorry your vinyl arrived this way! Please reach out to us here: [link] so we can look into your options together. ^AH,damaged_item,,,
1005057,1005056,"Someone has used my card in US for $10.99. I am not aware of this, is saying that it belong to us","Hey Vishal, check out - //www.amazon.com/gp/subs/primeclub/account/homepage.html It sounds like a monthly Prime charge. ^TP",damaged_item,,,
1005969,1005967,"u r terrible, 2 defective items in an order. U can only replace one. Amazon representatives very impolite,makes fun o me","I'm sorry for the poor experience! When you spoke with us, did we provide any info on why we cannot send a replacement?^WT",damaged_item,,,
1008499,1008498,My item was damaged during shipping because it was mailed in a bubble envelope. How will you help me?,So sorry your order was damaged! Let's see what additional options we have to get this sorted here: [link] ^JZ,damaged_item,,,
1008919,1008920,..Order No..[redacted]-5877920 Item recieved broken. Please get it picked up from shipped address. No option on ur site.,Sorry for the hassle. Please report this to our support team here: [link] and we'll check this. 1/2^HN,damaged_item,,,
1011682,1011681,My TATD book was arrived damaged from as well. #sadturtle [link],I'm so sorry about this. Have you had a chance to look into return / replacement options here: [link] ^GR,damaged_item,,,
1016746,1016745,"I need your help! I created an account, then I bought something, now I don't remember the email I used. Help me!",Oh no! Fear not! Contact us from here: [link] Lets see if we can help out in real time. ^CH,damaged_item,,,
101755,101757,"I used some tactics and got it out in the end, thanks for checking. I just need to bear in mind for future!","Hey Natalie, I am glad you were able to get your parcel in the end! ^HS",damaged_item,,,
1020250,1020248,Buying used stuff off of Is a ... disaster.,"I'm so sorry to hear of the trouble you've experienced! Without providing specifics, can you tell us more? ^ST",damaged_item,,,
1021021,1021023,Photos. Basically now the product is exposed and leaking everywhere... literally broken in half. Can't believe the driver just threw it 😑 [link],Oh no! I'm so sorry to hear that. Let's look in to what options are available for you here: [link] ^NM,damaged_item,,,
1021608,1021612,"Oracle Database 12c Release 2 Performance Tuning Tips & Techniques (Oracle Press) - damaged. Makes sense, it was the biggest.",Any return/replacement options can be found here: [link] (1/2),damaged_item,,,
1021610,1021607,You need to wrap soft cover books to cover and pages don't get damage!!! Using bubble strip does not cut it. 1of3 damaged.,I'm sorry about the book. Was it shipped by Amazon or a third party seller? You can check here: [link] ^DG,damaged_item,,,
102607,102609,"I’m hoping it’s not damaged-it’s a laptop, I won’t find out until Christmas Day as it’s a gift 🎁 how should I go about perhaps you making a note on my account, about possible damage, I have taken photos of the outer box",You can call or chat in to speak with us about options here:[link] Keep us posted how that goes. ^SG,damaged_item,,,
1027495,1027491,Think twice before ordering from Amazon. Ordered 3 pair of Costas and this is what I got...from China! 3 plastic broken fake Oakleys/Raybans [link],"We'd like to help! Have you been able to contact the seller? If not, please click here: [link] ^NM",damaged_item,,,
1027503,1027502,"new update is terrible 😢 Please fix home page back to the way it used to be, or at least give us a setting option to allow it",We appreciate feedback as it helps us improve. Send yours here: __email__ ^DO,damaged_item,,,
1029649,1029647,why is the skill broken?? Please update,Thanks for reaching out today. We'd like to help. Will you tell us more about the error you're getting with this skill? ^KB,damaged_item,,,
103002,497320,I used the online chat function on the website in the end. The lady who I chatted with (Joslin) was very helpful and has hopefully resolved the issue so everything comes tomorrow. Really happy with the customer services offered once I found it! 👍,Wonderful! I'm so glad your issue was resolved! Please let us know if you have any further issues. ^VF,damaged_item,,,
103030,103027,"multi yr prime mbr and getting frustrated. Bought ""Free 1 day"" item after confirming my address was ok and it's due to deliver 12/4?! That's not 1 day! Used to be a clear 2 days and even that is all over the board now. Why should I continue prime?","I understand your frustration! Not all shipping speeds are available for all items and all addresses. To see the most accurate Prime shipping information as you shop, make sure to set up a default address for your account. Learn more here: [link] ^SC",damaged_item,,,
1000123,1000122,"I just inadvertently bought a Kindle book on my account when I wanted to buy it as a gift, anyway I can change this?",Oh no! Please give us a call here: [link] so we can take a look at this with you! ^TR,payment_account,,,
1001029,1001028,"I bought a TV and this is how Hermes left it! The card had a 'no safe place' option, but this was ignored 😠. [link]","Oh Ian, that is not good! Please talk to us here so we can investigate: [link] ^AT",payment_account,,,
1001082,1001081,Help ! I tried to sign up for a Prime trial but I think it's automatically charged for the year!!,"I'm sorry for the trouble. We can help, contact us by phone or chat: [link] ^MG",payment_account,,,
1001096,1001095,I purchased mobile BBkey one vide invoice noBOM4-2936 dtd 4 th Oct17.Its back soft key not working since 21 st Oct.Pls replace it.,Have you reached out to our support team here: [link] for further assistance? ^VR,payment_account,,,
1001965,1001963,"Other than sharing my login credentials, is there a way to collaborate on an order with other members of the household?",There isn't a way to share your cart via household. ^ZW,payment_account,,,
1002659,1002661,Still doesn't read my sd card even after re-installing the app.,Could you try again after clearing the cache memory as certain figments of the old memory might still cause problems. ^HA,payment_account,,,
1002660,1002658,"guys the app stops recognizing the SD card once you format it as an internal memory. Gives ""disk full"" error. Please fix it.","That's odd. Could you try freeing up disk space on your device, then try uninstalling and re-installing the app? ^MS",payment_account,,,
1002662,1052141,"Sorry. Did that, still not helping. My SD card is formatted as an internal memory is that why it doesn't download directly to my Sd card?",Sorry to know you're unable to access our app. Please reach us from here: [link] we'll assist. ^SV,payment_account,,,
1002898,1002897,"Able to place order, but then a few hours later I'm advised to 'Update My Payment Method'. My card is valid and has funds on it! Why?","We are unable to see your account via Twitter, Paul. Please contact us here: [link] for real-time help ^AD",payment_account,,,
1003632,1033052,"i can see that 10% additional cash back on sbi debit card, plz tell me in details. Will u give me cash back in my a/c , or what",Sorry for the unpleasant experience with your order. Can you please tell us more about the issue so that we can look into it? ^SQ,payment_account,,,
1004599,1004597,Account has been on hold for what seems like forever (a year) 😩 I wanna Christmas shoppppppp,I'm sorry for the delay in resolving your account issues! Have you received any email communication from our account specialists? ^AH,payment_account,,,
1004604,1004603,Been trying to get information about my account for a whole year now and still feel like I’m talking to a wall everytime I call.,I am sorry you are experiencing this frustration! Without divulging any personal details can you tell us what is going on? ^DJ,payment_account,,,
1004606,1004609,Is that anything to do with that I'm usually a .co.uk customer? Is there a way I can spend my $ gift card voucher in the .co.uk store?,Thanks for reaching out to us! Please check here for information on gift cards: [link] I hope this help! Let us know. ^MO,payment_account,,,
1005134,1005132,"Hello! My husband purchased a camera for my son on and we were charged twice for it. We called last night and the charge went from pending to processed... twice. How can we fix this, please? Thanks!",Hi. What was advised when in touch? Can you see only one order placed on your account? Are the charges identical?^TP,payment_account,,,
1005964,1005963,hi i tried to change my login twice and now I can not log in at all. what can I do? I have no access to my account.,I'm sorry to hear you can't login to your account! Please reach us directly so we can assist: [link] ^BV,payment_account,,,
1006001,1006000,"In Kalyan we have 2 service centre, both r saying we don't look Memory card. plz give me address where should I go ??","In that case, please request for a service denial letter from the service centre, Vikas. We'll get this checked. ^HD",payment_account,,,
1006021,1006020,"The other item delivered w/ that order number was delivered, and the rest of the order still appears, with an adjusted invoice.","That is odd, we would like to look into this in real time. Please contact us by phone or chat: [link] ^CH",payment_account,,,
1006040,1006041,Service tax charged on 30th September 2017 invoice.... What is this??? [link],We currently include only seller's GST number on the invoice. If you're a business & purchasing business supplies from (1/2)^SV,payment_account,,,
1006601,1006600,"I am being charged twice for the same book rental,what do i need to do to fix this?","Apologies - is this for a Textbook Rental ? If so, please check here: [link] ^TD",payment_account,,,
1008916,1008914,I received an item that was apparently a gift from Amazon. How did this happen? Do I get charged?,"Have you already spoken with us regarding this gift? If so, what was advised? ^LB",payment_account,,,
1001041,1001040,ग्राहकों कृपया Amazon से ख़रीदारी ना करे.पिछले20 दिन से pick up नहीं हुआ.last 7 दिन सेमैं ख़ुदट्राईकर रहा हूँ .आज किसीतरह हुआ .1/3,That's quite a comment. Could you let us know what went wrong so that we can assist you further? ^NK,pickup,,,
1002538,1002537,Pourquoi un portefeuille est livrable en point relais mais pas dans un amazon locker ?? 🙄,"Bonjour, existe-il un amazon locker à coté de ce point relais ? ^SN",pickup,,,
1004608,1004605,"Hello, trying to place an order in [link] (was given a $ gift voucher) and I want it delivering to a locker, but it keeps asking me to select a residential address in the UK, I need to select a locker but the option isn't available. Thanks in advance","The option to deliver to a locker is only present when this option is available. If you are not seeing the option, then it is not available for this order. ^RO",pickup,,,
1004611,1004612,"Also none of them are outside of locker size & weight requirements, so all should be eligible?","I'm sorry for the inconvenience. Items purchased on .com are not eligible to ship to a .co.uk locker, they have to be shipped to a residential address. ^KB",pickup,,,
1004613,1004614,"I'm trying to have them sent to a US locker, not a UK locker.",Are you receiving an error code/message when trying to place this order to an Amazon Locker? ^WM,pickup,,,
1004615,1004616,"I'm just not seeing the option for a locker whatsoever, and I've really scrutinized the items, they're all on Prime and all size/weight eligible. All I'm getting is options for my UK addresses.",We'd like a chance to take a closer look into this for you. Please reach out to us by phone or chat at this link here: [link] ^VS,pickup,,,
1012891,1012893,"contacted your support team over phone 6 times. Everytime they made comitments, but none came for pickup. Its almost a month now",I apologize for the hassle. Kindly share your details here: [link] and I'll contact you soon.^VH,pickup,,,
1013066,1013064,how can I register my place for pick up point? Or be your delivery partner,Kindly reach out to our team here: [link] They'll assist you accordingly. ^VN,pickup,,,
1015603,1117013,Amazon pickup man asked me for moto g5s plus jbki esa koi phone deliver hi nhi hua #AmazingExperience,"Sorry to know that. I'd like to take a closer look into this, please fill this form here: [link] ^PS",pickup,,,
1015684,1015683,"Address is given for a reason. I am happy to help delivery guys w navigation, but unprofessional to insist I pick up the order",We've responded to you here: [link] request you to check. ^MA,pickup,,,
1016696,1016695,"disappoint by ur service.rqst to pickup n whole day hv passed, no response from amazon.what kind of service is this?.",Sorry for the hassle. Please report this to our support team here: [link] and we'll check this. ^HN,pickup,,,
1022552,1022554,Nope. 2 locker deliveries in a few days and Zero notifications.,I'm so sorry to hear this. Were you about to pick-up your package or you are still waiting for the pick-up code? ^LH,pickup,,,
1022553,1022551,Why am I not notified via email when an Amazon Locker item is delivered? I know these things are tracked. Terrible service.,"Usually, when the package is delivered an email will be sent with a unique pickup code, are you receiving your code? ^AR",pickup,,,
1022555,1022556,In both instances I was near the locker location when it was actually delivered; no where near it when I checked the package progress.,"When you have a moment, please reach out here: [link] so we can take a better look into this with you. ^AH",pickup,,,
1029691,1029688,what's the point in the Locker if it's not available 24/7. So annoyed that I got there to find them closed. Really over you all.,I'm sorry the location was closed! Please tell us more about your experience here: [link] ^BH,pickup,,,
1041846,1041845,What's the point of my apartment having a package locker when your couriers don't even use it!?!?!? Another missing package. Thanks a lot.,"Oh no, Josh! Who is the carrier for this order and what is its current tracking status? Please check here: [link] ^BE",pickup,,,
1043230,1043228,Worst site for online shopping as the flow they delivered the product vice a versa slow speed for pickup #MakeInIndia apnao,Kindly let us know if you have any unresolved issues. We would like to help. ^GS,pickup,,,
1046144,1046141,no email recieved and time has lapsed for another pick up order. It seems amazon has got arrogance of thier wealth.,You can find all the emails sent by us here: [link] Kindly reply to the email and we'll get back. ^SH,pickup,,,
1046146,1046145,30 mins left to miss another pick up order timeline. Why torture for prime customer ? [link],Apologies for the delay. Please reply to the email sent by our team for more updates on this soon. ^RS,pickup,,,
1047285,1047284,Locker been installed in our premises 2months ago but not being paid for the space&for the installation. Very poor response. 😡,"Hi, have you been in touch anyone about this? What info has been provided? ^TS",pickup,,,
1000127,1000126,watching Loveless on Amazon prime cuz of your VIFF review & the subtitles are weird & some of it is censored? ???,I'm sorry for the subtitle issues. Please reach out to us here so we can look into this: [link] ^BH,prime_membership,,,
1001010,1001008,So prime lists/sells at higher than MRP. Caught. Now bribing me wth Rs.100 voucher. Save that for lawyer fees I'd say.,We’re continuously working to provide the best possible prices and prices do change from time to time.(2/2)^RS,prime_membership,,,
1001064,1001063,Hola . ¿Cómo hablo con un responsable o encargado de un pedido de Prime? Por telefono es la tercera vez que cuelgan...,"Hola Domingo, lamentamos el inconveniente. Sin publicar datos personales o de tu cuenta, ¿nos podrías indicar que ha pasado? ^MB",prime_membership,,,
1001070,1001068,"Hallo , kurze Frage: die von mir als „Prime“ erworbene Lieferung „Next business day“ gibt es jetzt gar nicht mehr?","Wenn du auf eine Lieferung wartest, kannst du dich jederzeit bei uns über folgenden Link melden: [link] ^TR",prime_membership,,,
1001961,1001959,"#AmazonIndia #WorstCustomerCare #Pathetic Worst experience, this is what you call prime delivery? [link]","Sorry about the order. We'd like to look into this, please share your details here: [link] ^HA",prime_membership,,,
1001976,1001974,why do I pay for amazon prime when the last 2 items I’ve ordered haven’t been delivered on the specified date????,Oh no! We're here to help! What does the current tracking show: [link] Please let us know! ^KN,prime_membership,,,
1002501,1002500,You know what's really annoying? Ordering something from with Amazon Prime and not getting it when you're suppose to,Sorry to hear this Kenneth - have we missed a promised delivery date ? ^TD,prime_membership,,,
1002880,1002876,"3 parcels failed on prime in 3 days, exactly what am I paying for? Not a great record 0/3 parcels delivered","I'm sorry for the trouble! Without telling us any account info, could you tell us what's going on? ^MH",prime_membership,,,
1002892,1002890,In-spite of being a prime number why do I need to pay for delivery in Pune for this item? [link],Sorry to know this. Delivery charges vary by seller. You can check here: [link] for more info. ^VN,prime_membership,,,
1002913,1002912,"I have issues with subtitles out of sync on Prime Video, on browser and Android app, with almost all the videos. How to solve?",Please contact my colleagues in the costumer service: [link] They will be pleased to assist you. ^BL,prime_membership,,,
1003628,1003627,"Werden noch weitere Ninjago Staffeln, im Prime angeboten? Staffel 1-3 kennt leider mein Sohn schon.","Leider nein, ich setze es aber gerne auf unsere Wunschliste. ^BL",prime_membership,,,
1003634,1076270,This thing made my day..i never knew being a prime member have such benefits.😊 [link],"Sorry for the delay in delivery of your order, Shitesh. (1/2) ^HD",prime_membership,,,
1004558,1004556,I just love Prime Now. Ordered my groceries at midday today and they’re delivered by evening.… [link],Quite the bounty there! Have an amazing evening!,prime_membership,,,
1004565,1004564,Is this how delivers parcels nowadays? Pretty shocking for my first order as a new prime member!! [link],"I am sorry to see this. Can I ask, who is the carrier who delivered this order please? You can find this info here: [link]",prime_membership,,,
1004594,1004593,"It REALLY annoys me that each and every time I order something from Amazon prime and USPS is the carrier, they NEVER deliver my items on time!",I'm very sorry for this inconvenience. We'd like to look into this with you. Please reach out to us with more details here: [link] ^RB,prime_membership,,,
1005069,1003657,Ha... Now this! And this was supposed to be a prime delivery! Thanks for ruining everything. The occasion is over already.,"I'm sorry for the unpleasant experience you had with this order delivery, follow the link shared & submit 1/2 ^MJ",prime_membership,,,
1005076,1005075,You are failing miserably to deliver products on time to prime user. My both orders failed to dlvr.,Sorry for the inconvenience. Please contact our support team here: [link] we will get it resolved. ^GU,prime_membership,,,
1005123,1005122,"I still don't understand that fact that I already pay for prime, but they want me to pay again for unlimited... Screw that noise...",The main difference is that Amazon Music Unlimited offers access to more music [link] ^KM,prime_membership,,,
1005128,1005131,On doit payer pour pouvoir acheter des produits réservés prime (la plupart) livraison en Corse impossible en 1 jour (avion ou bateau) 🤔😕😢,"1/2 En effet, l'un des avantages de Prime c'est l'accès exclusif à certains articles.",prime_membership,,,
1005129,1005127,"Hello! de + en + de produits sont réservés aux abonnés Prime.. quand on habite en Corse, c'est un peu l'arnaque! on est 300000","Bonjour, pourriez-vous m'expliquer davantage, je vous prie?^FT",prime_membership,,,
1000154,1000153,Is your company bound to destroy people's diwali celebration? You can't deliver a package ever after 5 days of expected delivery,"Truly sorry about the hassle, Akshay. Have you tried reporting this to our support team here: [link] ^NK",technical,,,
1001049,1001051,What happened ? U r nt to able ans my que nw ? Why u use such a pathetic app which doesn't diagnose phn properly ? What u hb to say abt it,"We'd like to get this checked and help, kindly share your details here: [link] we'll reach out soon. ^MA",technical,,,
1001050,1001047,u r such a loser I bought OP5 on 9Oct n fcng speakr distortion issue & u askd me to use crappy app which detect everything is fine,"Sorry about the bad experience, Robin. Please connect with us here: [link] and we'll check this out. ^MS",technical,,,
